chr1	12228	12612	+
chr1	12722	13220	+
chr1	35175	35276	-
chr1	35482	35720	-
chr1	139697	139789	-
chr1	139848	140074	-
chr1	324061	324287	+
chr1	324346	324438	+
chr1	563204	563340	-
chr1	563604	564298	-
chr1	665185	665277	-
chr1	665336	665562	-
chr1	700628	701708	-
chr1	701768	703927	-
chr1	703994	704876	-
chr1	705093	708355	-
chr1	708488	709550	-
chr1	709661	713663	-
chr1	753583	754102	+
chr1	763156	764382	+
chr1	763230	764382	+
chr1	764485	776579	+
chr1	764485	783033	+
chr1	764485	787306	+
chr1	764485	788050	+
chr1	783187	787306	+
chr1	787491	788050	+
chr1	787491	788770	+
chr1	788147	788770	+
chr1	804056	809491	-
chr1	810536	812125	-
chr1	853101	853401	-
chr1	853496	854204	-
chr1	853556	854204	-
chr1	854296	854714	-
chr1	880181	880436	-
chr1	880527	880897	-
chr1	881034	881552	-
chr1	881667	881781	-
chr1	881926	883510	-
chr1	883613	883869	-
chr1	883984	886506	-
chr1	886619	887379	-
chr1	887520	887791	-
chr1	887981	888554	-
chr1	888669	889161	-
chr1	889273	889383	-
chr1	889463	891302	-
chr1	891394	891474	-
chr1	891596	892273	-
chr1	892406	892478	-
chr1	892654	894308	-
chr1	894462	894594	-
chr1	901995	902083	+
chr1	902184	905656	+
chr1	905804	905900	+
chr1	905982	906065	+
chr1	906139	906258	+
chr1	906387	906456	+
chr1	906589	906703	+
chr1	906785	907454	+
chr1	907531	907667	+
chr1	907805	908240	+
chr1	908391	908879	+
chr1	909021	909212	+
chr1	909432	909695	+
chr1	909745	909821	+
chr1	995227	995659	+
chr1	995774	998458	+
chr1	998582	1001209	+
chr1	1018368	1019294	-
chr1	1018368	1019732	-
chr1	1019764	1019860	-
chr1	1019887	1021257	-
chr1	1021393	1022518	-
chr1	1022585	1022881	-
chr1	1022978	1025732	-
chr1	1025809	1026851	-
chr1	1026946	1027370	-
chr1	1027484	1050401	-
chr1	1027484	1051439	-
chr1	1050456	1051439	-
chr1	1072491	1076204	+
chr1	1076413	1078118	+
chr1	1216047	1216605	+
chr1	1216678	1216790	+
chr1	1216991	1217621	+
chr1	1217696	1219357	+
chr1	1219471	1221305	+
chr1	1221659	1222147	+
chr1	1222356	1222488	+
chr1	1222680	1222887	+
chr1	1222977	1223052	+
chr1	1223217	1223318	+
chr1	1223418	1225650	+
chr1	1225769	1225856	+
chr1	1225936	1226016	+
chr1	1226075	1226274	+
chr1	1226334	1226444	+
chr1	1226521	1226633	+
chr1	1244101	1244294	+
chr1	1244101	1244465	+
chr1	1244353	1244465	+
chr1	1244654	1244833	+
chr1	1244984	1245060	+
chr1	1245232	1246013	+
chr2	219002	224867	-
chr2	224921	229965	-
chr2	230045	231022	-
chr2	231192	233100	-
chr2	233230	234159	-
chr2	234273	247537	-
chr2	247603	249730	-
chr2	249845	253004	-
chr2	253116	264083	-
chr2	265008	271865	+
chr2	271940	272036	+
chr2	272151	275139	+
chr2	275202	276979	+
chr2	277086	277226	+
chr2	946755	1079203	+
chr2	1079342	1093881	+
chr2	1093939	1094038	+
chr2	1094097	1133307	+
chr2	1133352	1133453	+
chr2	1133496	1161233	+
chr2	1161322	1168777	+
chr2	1168870	1204788	+
chr4	493279	494184	+
chr4	493515	494184	+
