261	100
12227	12611	1	0	2	1
12721	13219	1	2	1	1
35174	35275	2	2	0	2
35481	35719	2	0	5	2
139696	139788	2	0	1	2
139847	140073	2	3	2	2
324060	324286	1	2	3	1
324345	324437	1	1	0	1
563203	563339	2	0	2	2
563603	564297	2	2	1	2
665184	665276	2	0	1	2
665335	665561	2	3	2	2
700627	701707	2	0	2	2
701767	703926	2	0	1	2
703993	704875	2	0	0	2
705092	708354	2	2	3	2
708487	709549	2	1	1	2
709660	713662	2	0	2	2
753582	754101	1	1	1	1
763155	764381	1	2	0	1
763229	764381	1	0	0	1
764484	776578	1	2	1	1
764484	783032	1	3	0	1
764484	787305	1	2	2	1
764484	788049	1	3	2	1
783186	787305	1	1	2	1
787490	788049	1	4	3	1
787490	788769	1	3	0	1
788146	788769	1	2	0	1
804055	809490	2	1	2	2
810535	812124	2	2	4	2
853100	853400	2	2	1	2
853495	854203	2	0	2	2
853555	854203	2	1	2	2
854295	854713	2	0	4	2
880180	880435	2	0	1	2
880526	880896	2	1	2	2
881033	881551	2	0	1	2
881666	881780	2	1	1	2
881925	883509	2	0	4	2
883612	883868	2	1	1	2
883983	886505	2	0	2	2
886618	887378	2	1	0	2
887519	887790	2	1	2	2
887980	888553	2	0	2	2
888668	889160	2	0	2	2
889272	889382	2	0	3	2
889462	891301	2	1	4	2
891393	891473	2	0	1	2
891595	892272	2	0	2	2
892405	892477	2	1	2	2
892653	894307	2	0	3	2
894461	894593	2	1	2	2
901994	902082	1	3	0	1
902183	905655	1	1	1	1
905803	905899	1	3	1	1
905981	906064	1	3	1	1
906138	906257	1	3	1	1
906386	906455	1	5	1	1
906588	906702	1	3	1	1
906784	907453	1	2	1	1
907530	907666	1	2	1	1
907804	908239	1	3	2	1
908390	908878	1	1	0	1
909020	909211	1	2	0	1
909431	909694	1	0	2	1
909744	909820	1	3	0	1
995226	995658	1	2	0	1
995773	998457	1	2	2	1
998581	1001208	1	2	2	1
1018367	1019293	2	0	1	2
1018367	1019731	2	0	4	2
1019763	1019859	2	1	0	2
1019886	1021256	2	0	2	2
1021392	1022517	2	1	1	2
1022584	1022880	2	0	0	2
1022977	1025731	2	1	3	2
1025808	1026850	2	1	1	2
1026945	1027369	2	1	5	2
1027483	1050400	2	1	0	2
1027483	1051438	2	1	1	2
1050455	1051438	2	0	1	2
1072490	1076203	1	4	0	1
1076412	1078117	1	3	1	1
1216046	1216604	1	2	1	1
1216677	1216789	1	2	1	1
1216990	1217620	1	4	1	1
1217695	1219356	3	2	1	1
1219470	1221304	1	3	1	1
1221658	1222146	1	1	1	1
1222355	1222487	1	1	0	1
1222679	1222886	1	1	0	1
1222976	1223051	1	1	1	1
1223216	1223317	1	2	1	1
1223417	1225649	1	3	1	1
1225768	1225855	1	1	1	1
1225935	1226015	1	3	1	1
1226074	1226273	1	0	1	1
1226333	1226443	1	2	1	1
1226520	1226632	1	1	3	1
1244100	1244293	1	0	0	1
1244100	1244464	1	0	1	1
1244352	1244464	1	2	1	1
1244653	1244832	1	2	1	1
1244983	1245059	1	0	0	1
1245231	1246012	1	3	1	1
1529721	1535586	2	1	0	2
1535640	1540684	2	4	0	2
1540764	1541741	2	1	0	2
1541911	1543819	2	0	0	2
1543949	1544878	2	1	2	2
1544992	1558256	2	3	2	2
1558322	1560449	2	0	0	2
1560564	1563723	2	0	1	2
1563835	1574802	2	0	3	2
1575727	1582584	1	1	4	1
1582659	1582755	1	0	0	1
1582870	1585858	1	2	0	1
1585921	1587698	1	2	0	1
1587805	1587945	1	0	1	1
2257474	2389922	1	1	0	1
2390061	2404600	1	0	0	1
2404658	2404757	1	2	1	1
2404816	2444026	1	4	0	1
2444071	2444172	1	3	2	1
2444215	2471952	1	1	2	1
2472041	2479496	1	2	1	1
2479589	2515507	1	0	1	1
4163294	4164199	1	1	1	1
4163530	4164199	1	0	1	1
4164406	4169521	1	2	1	1
4169732	4171208	1	2	2	1
4171398	4172632	1	3	1	1
4172775	4179776	1	1	4	1
4179990	4184859	1	2	0	1
4185032	4185463	1	0	2	1
4185078	4185463	1	2	2	1
4185746	4185792	1	2	2	1
4185746	4187262	1	2	0	1
4187718	4190842	1	3	0	1
4191035	4194239	1	0	1	1
4194550	4197621	1	3	1	1
4197786	4202956	1	3	0	1
4346181	4346584	2	0	3	2
4346695	4347013	2	1	1	2
4347172	4347412	2	3	1	2
4347566	4348286	2	1	0	2
4348407	4348522	2	0	1	2
4348661	4349638	2	0	1	2
4348661	4350335	2	0	1	2
4349716	4349892	2	0	0	2
