69
NR_148357	11868	14361	14361	1	3	0	0
NR_046018	11873	14408	14361	1	3	3	1
NR_106918	17368	17435	14408	2	1	6	2
NR_107062	17368	17435	17435	2	1	7	3
NR_107063	17368	17435	17435	2	1	8	4
NR_128720	17368	17435	17435	2	1	9	5
NR_036051	30365	30502	17435	1	1	10	6
NR_036266	30365	30502	30502	1	1	11	7
NR_036267	30365	30502	30502	1	1	12	8
NR_036268	30365	30502	30502	1	1	13	9
NR_026818	34610	36080	30502	2	3	14	10
NR_026820	34610	36080	36080	2	3	17	11
NR_026822	34610	36080	36080	2	3	20	12
NR_039983	134772	140565	36080	2	3	23	13
NR_028322	323891	328580	140565	1	3	26	14
NR_028325	323891	328580	328580	1	3	29	15
NR_125957	562759	564388	328580	2	3	32	16
NR_028327	661138	665730	564388	2	3	35	17
NR_033908	700244	714067	665730	2	7	38	18
NR_103536	752750	755213	714067	1	2	45	19
NR_024321	761585	762901	755213	2	1	47	20
NR_047526	762970	778983	762901	1	3	48	21
NR_047519	762970	794825	778983	1	6	51	21
NR_047521	762970	794825	794825	1	5	57	21
NR_047523	762970	794825	794825	1	4	62	21
NR_047524	762970	794825	794825	1	4	66	21
NR_047525	763177	794825	794825	1	5	70	21
NR_027055	803450	812181	794825	2	3	75	22
NR_026874	852197	855071	812181	2	4	78	23
NR_122045	852197	855071	855071	2	4	82	23
NM_015658	879582	894635	855071	2	19	86	45
NM_001160184	901861	911244	894635	1	15	105	24
NR_148960	995113	1001832	911244	1	4	120	25
NM_017891	1017202	1051468	1001832	2	10	124	31
NM_001363525	1017202	1051468	1051468	2	11	134	31
NR_038869	1072396	1079433	1051468	1	3	145	26
NM_080605	1167616	1170419	1079433	1	1	148	43
NR_037668	1215815	1227408	1170419	1	17	149	27
NR_106784	1231489	1231549	1227408	2	1	166	28
NR_145806	1240108	1240191	1231549	2	1	167	29
NM_001346116	1243959	1246067	1240191	1	6	168	30
NR_144369	1243959	1246067	1246067	1	5	174	30
NR_104225	1528855	1575111	1246067	2	10	179	39
NM_004300	1575666	1589001	1575111	1	6	189	50
NM_018968	2257254	2515635	1589001	1	9	195	34
NM_001345991	4163004	4203998	2515635	1	13	204	41
NM_001345989	4163014	4186647	4203998	1	9	217	41
NM_001294341	4345633	4352955	4203998	2	10	226	40
NM_001294342	4345633	4352955	4352955	2	8	236	40
NM_001370372_2	8057342	8084341	4352955	1	7	244	36
NM_018390	8062367	8084341	8084341	1	7	251	36
NM_006883	8449398	8484465	8084341	1	6	258	32
NM_001354333	9941738	10114225	8484465	1	2	264	33
NM_001354340	10130522	10130965	10114225	1	1	266	33
NM_001354339	10130522	10130969	10130965	1	1	267	33
NM_001354338	10130522	10130969	10130969	1	1	268	33
NM_001202466	10404355	10524026	10130969	1	14	269	38
NM_001370100	10405010	10524026	10524026	1	15	283	38
NM_001097610	11203127	11204547	10524026	1	3	298	49
NM_025092	11299173	11306154	11204547	1	14	301	35
NM_001135053	11415763	11427444	11306154	2	10	315	48
NM_002939	11504562	11516815	11427444	2	11	325	37
NM_203384	11504562	11516815	11516815	2	10	336	37
NM_001143993	11571017	11574072	11516815	1	4	346	46
NM_001143994	11571017	11574072	11574072	1	5	350	46
NM_001286583	11586517	11622269	11574072	1	18	355	47
NM_015232	11983021	12076973	11622269	1	13	373	44
NM_182705	15494122	15500082	12076973	2	2	386	42
NM_001370372	16920238	16947237	15500082	1	7	388	36
