chr1	414989	450748	2	2	0	0	1	14
chr1	533017	575478	1	1	0	0	1	14
chr1	705257	738584	1	1	0	0	1	41
chr1	951221	954279	2	2	0	0	1	19
chr1	1037412	1073911	2	2	0	1	0	36
chr2	1131188	1157542	2	2	0	0	1	37
chr2	1131193	1148596	1	1	0	1	0	35
chr3	90455	134604	1	3	0	0	1	35
chr3	433135	445165	1	1	0	0	1	46
chr4	119708	141434	1	1	0	0	1	28
chr4	213602	224504	1	1	0	0	1	28
chr4	274310	286792	1	1	0	0	1	40
chr4	294664	307925	2	2	0	0	1	24
chr4	317157	352205	2	2	0	1	0	28
chr4	320040	349258	1	1	0	0	1	12
chr4	335083	352205	2	2	0	0	1	31
chr4	352072	361400	1	1	0	0	1	18
chr4	365103	372715	2	2	0	0	1	21
chr4	462155	506539	1	1	0	0	1	41
chr4	488059	489479	2	2	0	0	1	33
chr4	693151	742169	1	1	0	1	0	36
chr4	732501	770344	1	1	0	0	1	39
chr4	770388	809096	1	3	0	0	1	19
chr4	833192	847816	2	2	0	0	1	45
chr4	835347	846370	1	1	0	1	0	48
chr4	934935	937849	1	1	0	0	1	21
chr5	121292	135232	1	1	0	0	1	39
chr6	164217	198032	2	2	0	0	1	24
chr6	192907	194708	2	2	0	0	1	35
chr6	216521	263945	2	2	0	0	1	21
chr6	554201	588513	2	2	0	1	0	30
chr6	606309	613772	2	2	0	0	1	20
chr6	634363	677744	1	1	0	1	0	26
chr6	636024	638890	2	2	0	0	1	33
chr6	739399	783256	1	1	0	1	0	44
chr6	773665	791725	1	1	0	1	0	47
chr7	317678	360451	1	1	0	1	0	16
chr7	350528	387787	2	2	0	1	0	13
chr7	618450	646213	2	2	0	1	0	22
chr7	639136	646861	1	3	0	0	1	32
chr7	654485	677421	1	1	0	0	1	25
chr7	654485	687395	1	1	0	0	1	25
chr7	677240	688017	1	1	0	0	1	46
chr7	687318	734547	2	2	0	0	1	41
chr7	727559	756753	2	2	0	0	1	26
chr7	732795	750504	2	2	0	0	1	45
chr7	732795	776956	2	2	0	0	1	45
chr7	768781	776879	2	2	0	0	1	30
chrX	173823	202962	2	2	0	0	1	37
chrX	177319	195341	1	1	0	0	1	18
chrX	207895	218374	2	2	0	0	1	22
chrX	208044	222220	2	2	0	0	1	34
chrX	285549	290631	2	2	0	0	1	27
chrX	288332	290771	1	1	0	0	1	29
chrX	345507	390863	1	1	0	0	1	24
chrX	370602	403508	2	2	0	0	1	41
chrX	371008	399219	1	1	0	0	1	40
chrX	394082	439175	1	1	0	0	1	36
chrX	399309	399926	2	2	0	0	1	18
